代码,名称,市场,当前价格,涨跌幅
300946,恒而达,创业板,,
688303,大全能源,科创板,,
300118,东方日升,创业板,,
300209,有棵树,创业板,,
300709,精研科技,创业板,,
300852,四会富仕,创业板,,
688573,信宇人,科创板,,
600798,宁波海运,上证主板,,
601908,京运通,上证主板,,
002427,尤夫股份,深证主板,,
300695,兆丰股份,创业板,,
002331,皖通科技,深证主板,,
603332,苏州龙杰,上证主板,,
605138,盛泰集团,上证主板,,
600438,通威股份,上证主板,,
002757,南兴股份,深证主板,,
605055,迎丰股份,上证主板,,
688312,燕麦科技,科创板,,
002981,朝阳科技,深证主板,,
600448,华纺股份,上证主板,,
002086,东方海洋,深证主板,,
002190,成飞集成,深证主板,,
001238,浙江正特,深证主板,,
002722,物产金轮,深证主板,,
002094,青岛金王,深证主板,,
001269,欧晶科技,深证主板,,
603331,百达精工,上证主板,,
002853,皮阿诺,深证主板,,
002651,利君股份,深证主板,,
002909,集泰股份,深证主板,,
002506,协鑫集成,深证主板,,
002514,宝馨科技,深证主板,,
600530,交大昂立,上证主板,,
688159,有方科技,科创板,,
002977,天箭科技,深证主板,,
300157,新锦动力,创业板,,
605166,聚合顺,上证主板,,
002809,红墙股份,深证主板,,
688393,安必平,科创板,,
688246,嘉和美康,科创板,,
601008,连云港,上证主板,,
300630,普利退,创业板,,
300729,乐歌股份,创业板,,
688503,聚和材料,科创板,,
002093,国脉科技,深证主板,,
600879,航天电子,上证主板,,
601086,国芳集团,上证主板,,
300393,中来股份,创业板,,
300816,艾可蓝,创业板,,
688655,迅捷兴,科创板,,
002419,天虹股份,深证主板,,
002915,中欣氟材,深证主板,,
600523,贵航股份,上证主板,,
300680,隆盛科技,创业板,,
600284,浦东建设,上证主板,,
002865,钧达股份,深证主板,,
688680,海优新材,科创板,,
002019,亿帆医药,深证主板,,
002098,浔兴股份,深证主板,,
002988,豪美新材,深证主板,,
002857,三晖电气,深证主板,,
300832,新产业,创业板,,
600610,中毅达,上证主板,,
002523,天桥起重,深证主板,,
000678,襄阳轴承,深证主板,,
300907,康平科技,创业板,,
300430,诚益通,创业板,,
000581,威孚高科,深证主板,,
002846,英联股份,深证主板,,
600589,大位科技,上证主板,,
603239,浙江仙通,上证主板,,
688331,荣昌生物,科创板,,
603897,长城科技,上证主板,,
300808,久量股份,创业板,,
600568,ST中珠,上证主板,,
603843,*ST正平,上证主板,,
688114,华大智造,科创板,,
601022,宁波远洋,上证主板,,
000656,*ST金科,深证主板,,
002141,*ST贤丰,深证主板,,
603185,弘元绿能,上证主板,,
601865,福莱特,上证主板,,
002289,*ST宇顺,深证主板,,
300927,江天化学,创业板,,
002650,ST加加,深证主板,,
300758,七彩化学,创业板,,
000638,*ST万方,深证主板,,
600193,*ST创兴,上证主板,,
603389,*ST亚振,上证主板,,
002816,*ST和科,深证主板,,
688090,瑞松科技,科创板,,
688799,华纳药厂,科创板,,
002825,纳尔股份,深证主板,,
603176,汇通集团,上证主板,,
600481,双良节能,上证主板,,
000096,广聚能源,深证主板,,
002194,武汉凡谷,深证主板,,
603109,神驰机电,上证主板,,
000559,万向钱潮,深证主板,,
600771,广誉远,上证主板,,
002703,浙江世宝,深证主板,60.80,-1.12%
600278,东方创业,上证主板,121.58,0.18%
002892,科力尔,深证主板,,
300820,英杰电气,创业板,,
603630,拉芳家化,上证主板,,
000004,*ST国华,深证主板,,
600135,乐凯胶片,上证主板,,
000565,渝三峡Ａ,深证主板,,
688171,纬德信息,科创板,,
002831,裕同科技,深证主板,,
300607,拓斯达,创业板,,
300840,酷特智能,创业板,,
300577,开润股份,创业板,,
003010,若羽臣,深证主板,,
000767,晋控电力,深证主板,,
002040,南 京 港,深证主板,,
002549,凯美特气,深证主板,,
603291,联合水务,上证主板,,
002867,周大生,深证主板,,
